Paper ID,Problem ROR,Institution Name,Type,Ground Truth RORs,Predicted RORs
2311.17166,https://ror.org/00jc20583,University of Colorado,False Negative (missed),"['https://ror.org/05g13zd79', 'https://ror.org/00mkhxb43', 'https://ror.org/042nb2s44', 'https://ror.org/009gyvm78', 'https://ror.org/00jc20583', 'https://ror.org/05rrcem69', 'https://ror.org/041kmwe10', 'https://ror.org/05gq02987', 'https://ror.org/00b30xv10', 'https://ror.org/00hx57361']","['https://ror.org/04kfyt897', 'https://ror.org/00mkhxb43', 'https://ror.org/042nb2s44', 'https://ror.org/009gyvm78', 'https://ror.org/03efmqc40', 'https://ror.org/01arysc35', 'https://ror.org/04yvx5a03', 'https://ror.org/023dz9m50', 'https://ror.org/03dye1h57', 'https://ror.org/05rrcem69', 'https://ror.org/00b30xv10', 'https://ror.org/02e7b5302', 'https://ror.org/02ttsq026', 'https://ror.org/01apwpt12', 'https://ror.org/036x5ad56', 'https://ror.org/041kmwe10', 'https://ror.org/05gq02987', 'https://ror.org/00453a208', 'https://ror.org/03sry2h30', 'https://ror.org/03prydq77', 'https://ror.org/05g13zd79', 'https://ror.org/05n3x4p02', 'https://ror.org/00hx57361']"
2311.18460,https://ror.org/05591te55,Ludwig-Maximilians-Universität München,False Positive (wrongly predicted),[],"['https://ror.org/05591te55', 'https://ror.org/00e73ws79']"
2311.07528,https://ror.org/000e0be47,Northwestern University,False Negative (missed),['https://ror.org/000e0be47'],"['https://ror.org/03n4ayy20', 'https://ror.org/04fnrxr62', 'https://ror.org/037t3ry66', 'https://ror.org/00e73ws79', 'https://ror.org/00m6w7z96']"
2311.17275,https://ror.org/00jc20583,University of Colorado,False Negative (missed),['https://ror.org/00jc20583'],"['https://ror.org/02aqsxs83', 'https://ror.org/02ttsq026', 'https://ror.org/02hh7en24']"
2311.05497,https://ror.org/01yc7t268,Washington University in St. Louis,False Negative (missed),"['https://ror.org/042nb2s44', 'https://ror.org/0061x0487', 'https://ror.org/04p491231', 'https://ror.org/05dxps055', 'https://ror.org/05qwgg493', 'https://ror.org/03t78wx29', 'https://ror.org/05f0yaq80', 'https://ror.org/04dkp9463', 'https://ror.org/02gh4kt33', 'https://ror.org/02g7kd627', 'https://ror.org/01kj2bm70', 'https://ror.org/052gg0110', 'https://ror.org/02jx3x895', 'https://ror.org/03rmrcq20', 'https://ror.org/04chrp450', 'https://ror.org/03vek6s52', 'https://ror.org/026vcq606', 'https://ror.org/04ka0vh05', 'https://ror.org/02gfc7t72', 'https://ror.org/047s2c258', 'https://ror.org/02rx3b187', 'https://ror.org/035t8zc32', 'https://ror.org/00f54p054', 'https://ror.org/05vghhr25', 'https://ror.org/01yc7t268', 'https://ror.org/03a1kwz48']","['https://ror.org/034zgem50', 'https://ror.org/042nb2s44', 'https://ror.org/05ect4e57', 'https://ror.org/04p491231', 'https://ror.org/05vf0dg29', 'https://ror.org/00pg6eq24', 'https://ror.org/05dxps055', 'https://ror.org/01qdbbk19', 'https://ror.org/04jvemc39', 'https://ror.org/0171mag52', 'https://ror.org/023znxa73', 'https://ror.org/05qwgg493', 'https://ror.org/048tbm396', 'https://ror.org/03t78wx29', 'https://ror.org/05f0yaq80', 'https://ror.org/04dkp9463', 'https://ror.org/03n4ayy20', 'https://ror.org/043pgqy52', 'https://ror.org/03ad39j10', 'https://ror.org/02trn6p95', 'https://ror.org/01kj2bm70', 'https://ror.org/02g7kd627', 'https://ror.org/052gg0110', 'https://ror.org/02jx3x895', 'https://ror.org/03rmrcq20', 'https://ror.org/04chrp450', 'https://ror.org/01rmh9n78', 'https://ror.org/0395sep02', 'https://ror.org/027ka1x80', 'https://ror.org/02zhqgq86', 'https://ror.org/026vcq606', 'https://ror.org/045dz8764', 'https://ror.org/02epydz83', 'https://ror.org/01pp8nd67', 'https://ror.org/04jr1s763', 'https://ror.org/00240q980', 'https://ror.org/05qrfxd25', 'https://ror.org/00944ve71', 'https://ror.org/047s2c258', 'https://ror.org/01hjzeq58', 'https://ror.org/00xy44n04', 'https://ror.org/053avzc18', 'https://ror.org/034t30j35', 'https://ror.org/020bzqr95', 'https://ror.org/03tp8z347', 'https://ror.org/02rx3b187', 'https://ror.org/035t8zc32', 'https://ror.org/053pw6b94', 'https://ror.org/00f54p054', 'https://ror.org/02be6w209', 'https://ror.org/01sjwvz98', 'https://ror.org/05vghhr25', 'https://ror.org/02c9qn167', 'https://ror.org/00wjc7c48', 'https://ror.org/03a1kwz48']"
2311.05497,https://ror.org/02gh4kt33,Italian Institute for Astrophysics (INAF),False Negative (missed),"['https://ror.org/042nb2s44', 'https://ror.org/0061x0487', 'https://ror.org/04p491231', 'https://ror.org/05dxps055', 'https://ror.org/05qwgg493', 'https://ror.org/03t78wx29', 'https://ror.org/05f0yaq80', 'https://ror.org/04dkp9463', 'https://ror.org/02gh4kt33', 'https://ror.org/02g7kd627', 'https://ror.org/01kj2bm70', 'https://ror.org/052gg0110', 'https://ror.org/02jx3x895', 'https://ror.org/03rmrcq20', 'https://ror.org/04chrp450', 'https://ror.org/03vek6s52', 'https://ror.org/026vcq606', 'https://ror.org/04ka0vh05', 'https://ror.org/02gfc7t72', 'https://ror.org/047s2c258', 'https://ror.org/02rx3b187', 'https://ror.org/035t8zc32', 'https://ror.org/00f54p054', 'https://ror.org/05vghhr25', 'https://ror.org/01yc7t268', 'https://ror.org/03a1kwz48']","['https://ror.org/034zgem50', 'https://ror.org/042nb2s44', 'https://ror.org/05ect4e57', 'https://ror.org/04p491231', 'https://ror.org/05vf0dg29', 'https://ror.org/00pg6eq24', 'https://ror.org/05dxps055', 'https://ror.org/01qdbbk19', 'https://ror.org/04jvemc39', 'https://ror.org/0171mag52', 'https://ror.org/023znxa73', 'https://ror.org/05qwgg493', 'https://ror.org/048tbm396', 'https://ror.org/03t78wx29', 'https://ror.org/05f0yaq80', 'https://ror.org/04dkp9463', 'https://ror.org/03n4ayy20', 'https://ror.org/043pgqy52', 'https://ror.org/03ad39j10', 'https://ror.org/02trn6p95', 'https://ror.org/01kj2bm70', 'https://ror.org/02g7kd627', 'https://ror.org/052gg0110', 'https://ror.org/02jx3x895', 'https://ror.org/03rmrcq20', 'https://ror.org/04chrp450', 'https://ror.org/01rmh9n78', 'https://ror.org/0395sep02', 'https://ror.org/027ka1x80', 'https://ror.org/02zhqgq86', 'https://ror.org/026vcq606', 'https://ror.org/045dz8764', 'https://ror.org/02epydz83', 'https://ror.org/01pp8nd67', 'https://ror.org/04jr1s763', 'https://ror.org/00240q980', 'https://ror.org/05qrfxd25', 'https://ror.org/00944ve71', 'https://ror.org/047s2c258', 'https://ror.org/01hjzeq58', 'https://ror.org/00xy44n04', 'https://ror.org/053avzc18', 'https://ror.org/034t30j35', 'https://ror.org/020bzqr95', 'https://ror.org/03tp8z347', 'https://ror.org/02rx3b187', 'https://ror.org/035t8zc32', 'https://ror.org/053pw6b94', 'https://ror.org/00f54p054', 'https://ror.org/02be6w209', 'https://ror.org/01sjwvz98', 'https://ror.org/05vghhr25', 'https://ror.org/02c9qn167', 'https://ror.org/00wjc7c48', 'https://ror.org/03a1kwz48']"
2311.07576,https://ror.org/02gh4kt33,Italian Institute for Astrophysics (INAF),False Negative (missed),['https://ror.org/02gh4kt33'],"['https://ror.org/03re3pg25', 'https://ror.org/005ta0471', 'https://ror.org/02kx1hs47', 'https://ror.org/00s409261', 'https://ror.org/01ynf4891']"
2311.11786,https://ror.org/00jjx8s55,Commissariat à l’Énergie Atomique (CEA),False Negative (missed),"['https://ror.org/00jjx8s55', 'https://ror.org/029brtt94', 'https://ror.org/02jbv0t02', 'https://ror.org/03rp50x72', 'https://ror.org/04jsz6e67', 'https://ror.org/03angcq70', 'https://ror.org/05n3dz165', 'https://ror.org/01ggx4157', 'https://ror.org/02kkvpp62', 'https://ror.org/02956yf07', 'https://ror.org/03t78wx29', 'https://ror.org/03p74gp79', 'https://ror.org/02yhj4v17', 'https://ror.org/01an7q238', 'https://ror.org/00hj54h04', 'https://ror.org/0281dp749', 'https://ror.org/040af2s02', 'https://ror.org/04cvxnb49', 'https://ror.org/03v76x132', 'https://ror.org/03xjwb503', 'https://ror.org/057zh3y96', 'https://ror.org/044yd9t77', 'https://ror.org/04pp8hn57', 'https://ror.org/01xtthb56', 'https://ror.org/02k7v4d05', 'https://ror.org/02rx3b187', 'https://ror.org/038t36y30', 'https://ror.org/00pd74e08', 'https://ror.org/03a1kwz48']","['https://ror.org/05kdjqf72', 'https://ror.org/01070mq45', 'https://ror.org/04387x656', 'https://ror.org/04wffgt70', 'https://ror.org/03c44v465', 'https://ror.org/02hmjzt55', 'https://ror.org/05pb4em20', 'https://ror.org/04xs57h96', 'https://ror.org/00nqqvk19', 'https://ror.org/05ecg5h20', 'https://ror.org/001tmjg57', 'https://ror.org/01vj6ck58', 'https://ror.org/048sx0r50', 'https://ror.org/05j3snm48', 'https://ror.org/02q2d2610', 'https://ror.org/002kje223', 'https://ror.org/057zh3y96', 'https://ror.org/00bas1c41', 'https://ror.org/04q78tk20', 'https://ror.org/01x2x1522', 'https://ror.org/054341q84', 'https://ror.org/03g11f026', 'https://ror.org/01kxesq83', 'https://ror.org/03a1kwz48', 'https://ror.org/02qyf5152', 'https://ror.org/05sgb8g78', 'https://ror.org/00z34yn88', 'https://ror.org/01hhf7w52', 'https://ror.org/02r2k1c68', 'https://ror.org/00nzsxq20', 'https://ror.org/02jbv0t02', 'https://ror.org/01ggx4157', 'https://ror.org/00mv6sv71', 'https://ror.org/01v4s0f07', 'https://ror.org/033js6g46', 'https://ror.org/054a6wv56', 'https://ror.org/035dsb084', 'https://ror.org/01qz5mb56', 'https://ror.org/01nffqt88', 'https://ror.org/01k4yrm29', 'https://ror.org/05kzadn81', 'https://ror.org/04f4wg107', 'https://ror.org/01a5mqy88', 'https://ror.org/05ctdxz19', 'https://ror.org/04wnheq77', 'https://ror.org/05vmv8m79', 'https://ror.org/05ekwbr88', 'https://ror.org/01st30669', 'https://ror.org/0461cvh40', 'https://ror.org/00pd74e08', 'https://ror.org/02jv3k292', 'https://ror.org/022hq6c49', 'https://ror.org/03x1jna21', 'https://ror.org/01tmp8f25', 'https://ror.org/03f0apy98', 'https://ror.org/04j0x0h93', 'https://ror.org/012a77v79', 'https://ror.org/05q92br09', 'https://ror.org/02pq29p90', 'https://ror.org/05t797721', 'https://ror.org/05n3dz165', 'https://ror.org/02kkvpp62', 'https://ror.org/0491yz035', 'https://ror.org/00f9tz983', 'https://ror.org/049jf1a25', 'https://ror.org/02yhrrk59', 'https://ror.org/01easw929', 'https://ror.org/03v76x132', 'https://ror.org/00y0xnp53', 'https://ror.org/04gnjpq42', 'https://ror.org/01xtthb56', 'https://ror.org/04gcegc37', 'https://ror.org/028kg9j04', 'https://ror.org/039965637', 'https://ror.org/01n78t774', 'https://ror.org/0558j5q12', 'https://ror.org/029bjdf19', 'https://ror.org/04jymbd90', 'https://ror.org/01ppj9r51', 'https://ror.org/01wjejq96', 'https://ror.org/00pg6eq24', 'https://ror.org/01xtv3204', 'https://ror.org/00v5gqm66', 'https://ror.org/023sm4k53', 'https://ror.org/03paz5966', 'https://ror.org/036rp1748', 'https://ror.org/001gpfp45', 'https://ror.org/02956yf07', 'https://ror.org/00s6t1f81', 'https://ror.org/04c4dkn09', 'https://ror.org/03p74gp79', 'https://ror.org/02yhj4v17', 'https://ror.org/00d3pnh21', 'https://ror.org/051smb947', 'https://ror.org/00ad27c73', 'https://ror.org/00hj54h04', 'https://ror.org/00rs6vg23', 'https://ror.org/03v8tnc06', 'https://ror.org/013q1eq08', 'https://ror.org/04cvxnb49', 'https://ror.org/01a8ajp46', 'https://ror.org/0587ef340', 'https://ror.org/05g1mh260', 'https://ror.org/03sry2h30', 'https://ror.org/0046rz373', 'https://ror.org/0266khk21', 'https://ror.org/03xjwb503', 'https://ror.org/020f3ap87', 'https://ror.org/02wnxgj78', 'https://ror.org/05xm08015', 'https://ror.org/05wf30g94', 'https://ror.org/05q1wf970', 'https://ror.org/01rk35k63']"
2311.10600,https://ror.org/05591te55,Ludwig-Maximilians-Universität München,False Positive (wrongly predicted),[],"['https://ror.org/01vekys64', 'https://ror.org/04xrcta15', 'https://ror.org/040tqga17', 'https://ror.org/05v727m31', 'https://ror.org/05591te55']"
2311.15434,https://ror.org/046rm7j60,"University of California, Los Angeles",False Negative (missed),['https://ror.org/046rm7j60'],"['https://ror.org/05183v471', 'https://ror.org/03qgg3111']"
